nombre,puntos
TEQUILA DON JULIO - BLANCO,4500
Tequila DON JULIO - Añejo,5000
Voucher Boutique,5000
Voucher Boutique,10000
Vaso de acero inoxidable Coleman Brew con abridor,3200
Body Ritual,8000
Gift Card La Misión,11500
Ritual de parejas Hotel La Misión,25000
Noche de bodas La Misión Hotel Boutique,26800
Previa de novia La Misión Hotel Boutique,7000
Previa de novio La Misión Hotel Boutique,17000
Baby Moon La Misión Hotel Boutique,28500
Frigobar Midea De 110 Lts,28000
Aspiradora Electrolux,13500
Smart TV Samsung LED de 43 pulgadas,55000
Airpods PRO de Apple Con Cancelación De Sonido Externo!,38000
Rakiura - LUNCH DOMINICAL,2000
Bicicleta Strider,22000
Cartera Kipling Alvar,7800
Bolso Deportivo Totto Bungee,2900
Bolso Deportivo Totto Cobre,4100
Mochila Totto con porta Pc Dinamicon,4200
Neceser Organizador Totto Reisa,3300
Voucher Llevauno Gs. 250.000,5000
Voucher Llevauno Gs. 500.000,10000
MALETA SAMSONITE GLIDE SPINNER M 68 CM  MEDIANO (DISP.GRIS /NEGRO),16000
Maleta Samsonite de mano modelo GLIDE II SPINNER 55 CM BLACK,14000
MALETA BASEFOLK SAMSONITE SPINNER 28 EXP GRANDE  (DISP. AZUL/ NEGRO),19000
GLIDE II SPINNER 82 CM  BLACK GRANDE (DISP. NEGRO/ GRIS/ ROJO),18000
MOCHILA SAMSONITE MOD. MASSIF P/LAPTOP - RUBY CON TIRA REFLEJANTE DE LUZ NOCTURNA,9500
Caja Fuerte Digital QUANTA 25 L,18500
Disco Externo Seagate 2.5 De 1TB USB 3.0,9000
FanBag Desayunos,2200
Bolso de Bebe Kipling Camama,17000
SAMSONITE MOCHILA PORTA NOTBOOK ELEVATION TALAS-BLACK- NEGRO LAPTOP,8000
SAMSONITE MOCHILA PORTA NOTBOOK ELEVATION TALAS-ECLIPSE LAPTOP,8000
SAMSONITE MOCHILA  PORTA NOTEBOOK BACKPACK ELEVATION JULIETTE-HEATHER GREY,10000
Mochila Samsonite Kabi 15.6 Azul Camuflayado Top Business,10500
Mochila Samsonite Nonstop Gemini P/ Notebook Laptop 15.6” GRIS ROSADO,8000
Mochila Samsonite Nonstop Gemini P/ Notebook Laptop 15.6” PURPURA,8000
"""SAMSONITE
VALIJA SEMI RIGIDA BAHIA BAHIA SPINNER 28"""" EXP GRANDE (DISP. NEGRO / BORDO/ AZUL)""",18000
Reversed Hugo Boss para Hombres 75 ml EDT,10000
Boss The Scent Absolute Hugo Boss para Hombres 100ml EDP,13000
Boss The Scent Absolute Hugo Boss para Damas 50ml EDP,13000
Perfume Hugo Boss Boss Bottled Infinite EDP - Masculino 100mL,12000
Boss Bottled Oud Hugo Boss para Hombres 100ml,15000
Perfume Hugo Boss Femme Eau de Parfum 50ml Damas,9000
Boss Jour Pour Femme de Hugo Boss-50 ml  Damas,12000
Perfume Hugo Boss Nuit pour Femme EDP 50ml Damas,9000
Hugo Woman Extreme Edp 75ml Damas,11000
HUGO Woman -EDP 50 ml Damas,10000
Hugo Boss THE SCENT EDT 100ml Hombres,15500
Perfume Hugo Boss Just Different EDT - Masculino 125mL,11500
Hilfiger Woman Tommy Hilfiger para Mujeres 50ml,9000
Michael Kors Wonderlust Edp - 50ml- Damas,13000
DKNY My NY por Donna Karan EDP Damas 100 ml,12500
DKNY Be Tempted EDP 50ml Damas,11000
DKNY Women  EDP 100 ml Damas,11000
MICHAEL KORS SEXY AMBER EAU DE PARFUM 100ML,15500
Clinique Set Great Skin Everywhere para pieles Mixtas con tendencia a  grasa,16000
MONT BLANC INDIVIDUEL EDT 75ML HOMBRES,8000
MONT BLANC INDIVIDUELLE  EDT 75ML DAMAS,8000
BVLGARI GOLDEA THE ROMAN NIGHT Eau de Parfum 75 ml Damas,11000
Montblanc Presence EDT - Masculino 75 ml,8000
BVLGARI AQVA ATLANTIQUE POUR HOMME Eau de Toilette 100 ML,13000
Calvin klein Ck In2u For Her EDT 100ml Damas,8000
Calvin Klein CK IN2U For Him EDT 100 ml- Hombres,8000
TRUTH MEN de Calvin Klein EDT 100 ml Hombres,8500
Perfume Hugo Boss BOTTLED TONIC EDT 50 ml Hombres,10000
"Hugo Boss Green - Eau de Toilette, Hombres 75 ml",8500
HUGO ENERGISE EDT. HOMBRES 75 ML,9000
Perfume Tommy Hilfiger Now EDT - Masculino 100mL,11000
Perfume Tommy Hilfiger Now Gril EDT - Femenino 100mL,11000
MONT BLANC SIGNATURE EDP 90 ML DAMAS,12000
AQUA KENZO POUR FEMME COLONIA DAMAS,6500
Agua de Colonia TOMMY HILFIGER IMPACT EDT HOMBRES 100ML,12500
Salentein Espumante Rose,2000
Salentein Espumante Brut Nature,2000
Nespresso Aeroccino 3,18000
Tommy For Her Eau de Prep 50ml,8000
Hugo Boss WOMAN EXTREME EDP 75ml,10000
L´HOMME IDEAL  EDT -ESTUCHE,10000
Fanbag Cocinas del mundo Fisico,9200
Fanbag Desayunos Fisico,2600
Magna- Tiles Ice 16 Piezas,4500
Vino Rutini Malbec,5000
Terapia Vivificante,7500
Purificador HCP Doulton,18000
FanBag Activa,8600
"Ramo ""Sorpresa Primaveral"" - Villandry",6500
MON GUERLAIN EDT. ESTUCHE,15000
Rutini Sauvignon 750 ml,3500
DV Catena Cabernet Malbec 750 ml,4000
Fifty Pounds Gin 700 ml,5500
Away,4500
Toques de sol,7500
Aire Acondicionado Carrier De 18.000 BTU,82000
Purificador EcoFast con Grifo Standard Doulton,23500
Monedero Kipling Aeryn,2700
Hugo Boss THE SCENT EDT 50 ml MEN,8000
GUERLAIN  L´HOME IDEAL L´INTENSE EDP. ESTUCHE REGALO,15000
Lindt Naps Mini Tablas Choco Surtidos 350 G.,3000
El Pozo Jamon  7kg,30000
Guylian  Conchas de Mar con Papel de regalo 250 g.,2000
Elegí tu destino,
Puerto de Indias Gin 700 ml,3000
Rutini Cabernet-Malbec 750 ml,3500
Moet & Chandon Brut Imperial 750 ml,9500
Purificador HCS Doulton,22000
Purificador Premium Curvo Doulton,30500
Char-Broil Offset Smoker Firebox,25000
Samsonite BASAL SPINNER 55/20 BLUE,22000
"Conservadora 3 en 1 - Mochila, asiento, conservadora",7000
Neceser Kipling Creativity S,3000
Neceser Kipling Creativity L,3400
Cartera Kipling Amiel,7800
Maleta Kipling Youri Spin 55,23000
Bolsa de Dormir Pavillo X2,6200
"Ramo ""Para mi amor"" - Villandry",6500
Estee Lauder Pleasures Intense 100 ml,18000
LA PETITE ROBE NOIRE EDP- ESTUCHE,15000
GUERLAIN   SHALIMAR INITIAL EDP. Estuche regalo,15000
Moto Eléctrica XT3 De Bandeirante,20400
Moto Eléctrica XT3 Para Nena De Bandeirante,15500
Lindt Gold Tabla Chocolate con Leche 300 G,1800
Chivas Regal 18 años 750 ml,11000
Vino D.V. Catena Malbec 750 ml,5000
Luigi Bosca Cabernet Sauvignon 750 ml,3000
Opihr Gin Oriental 750 ml,5800
Facial Purexpert – Germaine de Capuccini,7300
Apple Watch SE de 40mm,51000
Porta Ipad Mini Kipling Digi Touch,2800
Bolso con ruedas Kipling Art On Wheels,18500
Cartuchera Kipling 100 Pens,6000
Maleta Kipling Curiosity M,30000
Carry On Kipling Curiosity S,25000
Cartuchera Kipling Gitroy,5000
Mochila Kipling Seoul BTS,12500
Carry On Kipling Spontaneous S,23500
Maleta Kipling Curiosity L,30500
Maleta Kipling Spontaneous L,30000
Carry On Kipling Curiosity SS,25000
Maleta Kipling Spontaneous M,28000
Champagne Veuve Clicquot Demi-sec 750 ml,12000
DV Catena Chardonnay 750 ml,4000
El Enemigo Malbec 750 ml,5500
Luigi Bosca Sauvignon Blanc 750 ml,3500
Royal Salute 21 años 700 ml,20000
Moet & Chandon Brut Imperial Rose 750 ml,12000
Impulso de Verano,25500
Aire Acondicionado Carrier De 12.000 BTU,55000
Kit de Cocina KitchenCraft Colourworks Brigths de 5 piezas,6500
"CHAR BROIL PERFORMANCE Classic 280, 2 QUEMADORES",48000
Apple Watch SE de 44mm,76000
Monopoly Classic,5500
Bolígrafo Parker Jotter,1800
Neceser Kipling Creativity XL,4500
Billetera Kipling Essa Leather,6800
Billetera Kipling Olvie Leather,9000
Porta Documentos Kipling Travel Doc,4000
Neceser Kipling Agot,6500
Neceser Kipling Palmbeach,8700
Cartera Kipling New Hip Hurray,3600
Color Bouquet,6000
Set de Dados,4000
Valor Chocolatissimo Seleccion Oro 200 GRS,1500
Guylian Conchas de Mar Caja con Ventana 250G,2000
Chandon Brut Nature x 6 unid.,13000
Champagne Veuve Clicquot Brut 750 ML,11000
Gin Bombay Sapphire 750 ml,3800
Luigi Bosca Malbec 750 ml,3000
Sofa Reclinable,55000
Set Estee Lauder Pleasure Favorite Destination,19000
Chandon Brut Rosé x 6 unid.,12000
Buchannans Red Seal 750 ml,17000
Dom Perignon Brut 750 ml,33000
Amano Almond Spa Manicure,1500
Hervidora Arno p/ mate,5000
Juego de Herramientas Profield,12000
Escalera Multiposicion,20000
JBL Flip 5 Waterproof,14200
"Samsonite Empire Spinner 28"" Petunia",35000
Porta Ipad Kipling Digi Touch,3500
Tommy for Him Eau de Prep 50 ml,7500
Be Delicious Fresh Blossom EDP 100 ml,10500
Estee Lauder Lifting Firming Essential,20000
Santos De Cartier edt. Concentree Spray 100 ml,13000
Amano Full Spa,6000
Glenfiddich 21 Años  750 ml,31000
Dom Perignon Rose 750 ml,54000
Amano Shellac Deluxe,6500
Aspiradora Karcher MV2K/WD2,15000
Secador  Parlux 3200,14000
Planchita Gama IHT G-Style D Titanium Ion,10000
Mochila Kabi Samsonite,11000
JW Gold Label,6000
Amano Dinamic Duo Vinylux,3200
Hidrolavadora Karcher,14000
Apple Watch S3 38mm,36000
Jack Daniel's Old Nº7,4000
Relax Therapy,4500
"Smart TV Samsung 4K De 65 """,160000
Jack Daniel's Honey,4000
"Head, Feet & Hands",4800
Hendrick's Gin,5000
Juego de cocina de 7 piezas Paris,11000
Juego para churrasco de 17 piezas,18000
Apple Watch S3 42mm,41500
Mesa portatil de Jardin,12000
Aspiradora para Auto Tramontina,4200
Licuadora ARNO Power MAX 1000W,9000
Licuadora Moulinex Perfect Mix,13000
Masaje aromático 4/1,4200
AirPods Apple 2 Hola Siri,24000
Facial Cityproof - Germaine de Capuccini,10500
Mochila Totto Teram,4000
Gift Card 500.000 - Estoy Juguetería,10000
